DELITO;CRIMINALIDAD;ES_ARCHIVO;ES_PRECLUSI√ìN;ESTADO;ETAPA_CASO;LEY;DEPARTAMENTO_HECHO;MUNICIPIO_HECHO;AÑO_HECHOS;TOTAL_PROCESOS
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;EL TAMBO;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;SAMAN√Å;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;CUBARRAL;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;LEJAN√çAS;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;QUINCH√çA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SANTA BARBARA;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;GIGANTE;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;LORICA;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SINCELEJO;2015;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;BECERRIL;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Casanare;YOPAL;2015;3
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TUNJA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;HISPANIA;2011;3
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;CASTILLA LA NUEVA;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;SANTUARIO;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Vichada;CUMARIBO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;SIBUNDOY;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;QUIBDO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SAN CARLOS;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;BOCHALEMA;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;LA MACARENA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;EL GUACAMAYO;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;COLOSO;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;GUAVAT√Å;2015;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Arauca;PUERTO ROND√ìN;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;P√ÅEZ;2011;1
FINANCIACION DE CAMPA√ëAS ELECTORALES CON FUENTES PROHIBIDAS ART.396A;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;APARTAD√ì;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;ANOLAIMA;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;ACEVEDO;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;OCANA;2011;3
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;C√öCUTA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;COTA;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;SOCORRO;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;SOLEDAD;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;COTA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUST√çN CODAZZI;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;APARTAD√ì;2015;2
VOTO FRAUDULENTO ART. 391 C.P;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;ACAC√çAS;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;G√ìMEZ PLATA;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;BELLO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;GIRALDO;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;ALEJANDR√çA;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;MERCADERES;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MUTAT√Å;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;SANTA ANA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;DABEIBA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;SANTA MARTA;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;SAN ESTANISLAO;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;DOSQUEBRADAS;2015;2
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;FLORI√ÅN;2019;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;SAN ANTERO;2011;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;PUERTO NARE;2015;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;ISTMINA;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;VILLAVIEJA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;CHIQUINQUIR√Å;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;CHAPARRAL;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;EL BAGRE;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cauca;LA VEGA;2019;2
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;ISTMINA;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2019;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;PUERTO WILCHES;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;ALTAMIRA;2011;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;La Guajira;DISTRACCI√ìN;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUACHICA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;PUERRES;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;FUENTE DE ORO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;ARMENIA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;PAIPA;2015;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;YUMBO;2011;3
FINANCIACION DE CAMPA√ëAS ELECTORALES CON FUENTES PROHIBIDAS ART.396A;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cauca;ARGELIA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;CHAPARRAL;2019;2
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;CERRO SAN ANTONIO;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;La Guajira;SAN JUAN DEL CESAR;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;RIOSUCIO;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;BUCARAMANGA;2015;3
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;MANTA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;NO;NO;ACTIVO;JUICIO;Ley 906;La Guajira;RIOHACHA;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;GUTI√âRREZ;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;POTOS√ç;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;GUATAPE;2011;1
VOTO FRAUDULENTO ART. 391 C.P;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;ESPINAL;2011;2
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2019;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2015;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;JUICIO;Ley 906;Nari√±o;EL ROSARIO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;ZETAQUIRA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;PURIFICACI√ìN;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;VIG√çA DEL FUERTE;2011;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;EL CERRITO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;NO;NO;ACTIVO;JUICIO;Ley 906;La Guajira;RIOHACHA;2015;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;SOGAMOSO;2015;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;ZAMBRANO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;NECH√ç;2019;1
DENEGACION DE INSCRIPCION ART. 396 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;C√öCUTA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SAN ROQUE;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;OBANDO;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUST√çN CODAZZI;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;NO;SI;INACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;IPIALES;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PIVIJAY;2019;1
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;SANTA MARTA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TASCO;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;PUERTO WILCHES;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;AMAG√Å;2019;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;PUEBLOVIEJO;2011;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SAN FRANCISCO;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;CALI;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SAMPU√âS;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;APULO;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;La Guajira;RIOHACHA;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Boyaca;PUERTO BOYAC√Å;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TUNJA;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;VALDIVIA;2011;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;TIERRALTA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;SAN PEDRO DE CARTAGO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;BOAVITA;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Antioquia;CHIGOROD√ì;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;SI;INACTIVO;INVESTIGACI√ìN;Ley 1098;Valle del Cauca;PALMIRA;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Atl√°ntico;BARRANQUILLA;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;REGIDOR;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MUTAT√Å;2015;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cauca;L√ìPEZ;2011;2
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caquet√°;EL PAUJIL;2019;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Casanare;YOPAL;2019;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Santander;PUERTO WILCHES;2011;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Huila;NEIVA;2015;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;ATACO;2019;2
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;EL CANT√ìN DEL SAN PABLO;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;NARI√ëO;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;LA TEBAIDA;2019;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;MORALES;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;NO;NO;INACTIVO;INVESTIGACI√ìN;Ley 1098;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;ANGOSTURA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SAN JER√ìNIMO;2011;2
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;SANTA MARTA;2015;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Santander;BARBOSA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;AGUST√çN CODAZZI;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;SANTA ROSA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;CALARCA;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;FUNZA;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;AMBALEMA;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;C√≥rdoba;MO√ëITOS;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;IBAGU√â;2015;2
VOTO FRAUDULENTO ART. 391 C.P;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;SAN CAYETANO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;SABANALARGA;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;MEDELL√çN;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;SI;INACTIVO;JUICIO;Ley 906;Risaralda;MISTRAT√ì;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;ANSERMANUEVO;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;PIEDRAS;2011;3
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;TAD√ì;2011;2
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;La Guajira;URUMITA;2019;2
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;EL CARMEN DE ATRATO;2019;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Arauca;ARAUQUITA;2015;2
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Norte de Santander;EL CARMEN;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;ALCAL√Å;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Putumayo;ORITO;2015;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2011;2
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;TURBACO;2011;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;MAR√çA LA BAJA;2019;1
VOTO FRAUDULENTO ART. 391 C.P;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caldas;MANIZALES;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;ACH√ç;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SINCELEJO;2011;1
